Orlando Magic,Cleveland Cavaliers,Dallas Mavericks,Portland Trail Blazers,Minnesota Timberwolves,Phoenix Suns,Philadelphia 76ers,Toronto Raptors,New Orleans Pelicans,Milwaukee Bucks,Los Angeles Clippers,Denver Nuggets,Oklahoma City Thunder,Atlanta Hawks,New York Knicks,Washington Wizards,Memphis Grizzlies,Brooklyn Nets,Chicago Bulls,Houston Rockets,Utah Jazz,Golden State Warriors,Boston Celtics,Indiana Pacers,San Antonio Spurs,Charlotte Hornets,Los Angeles Lakers,Detroit Pistons,Sacramento Kings,Miami Heat,Date,Start (ET),PTS(Visitor),PTS(Home),Pr(Visitor), Pr(Home)
0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,Fri Oct 31 2014,8:00 pm,114,108,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,80,0,0,0,0,0,0,Fri Oct 31 2014,7:00 pm,97,89,1,0
0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,Fri Oct 31 2014,10:30 pm,118,111,1,0
0,0,0,0,0,0,81,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fri Oct 31 2014,8:30 pm,81,93,0,1
0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,Fri Oct 31 2014,10:00 pm,89,94,0,1
0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,Fri Oct 31 2014,10:00 pm,94,103,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,Sat Nov 1 2014,7:30 pm,92,102,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,80,0,0,0,0,Sat Nov 1 2014,7:00 pm,71,69,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,80,0,0,Sat Nov 1 2014,7:30 pm,102,90,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,81,0,0,0,Sat Nov 1 2014,10:30 pm,104,127,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,81,0,0,0,0,0,0,0,Sat Nov 1 2014,8:00 pm,90,104,0,1
0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,Sat Nov 1 2014,8:00 pm,106,105,1,0
0,0,81,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat Nov 1 2014,7:00 pm,109,104,1,0
0,0,0,0,0,0,0,0,0,0,0,81,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat Nov 1 2014,8:00 pm,91,102,0,1
80,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat Nov 1 2014,7:00 pm,108,95,1,0
0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,Sat Nov 1 2014,7:00 pm,114,96,1,0
0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,Sat Nov 1 2014,9:00 pm,91,118,0,1
0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat Nov 1 2014,7:00 pm,97,108,0,1
0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,Sun Nov 2 2014,3:30 pm,98,92,1,0
0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,Sun Nov 2 2014,6:00 pm,102,107,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,Sun Nov 2 2014,7:30 pm,93,96,0,1
0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,Sun Nov 2 2014,9:00 pm,95,90,1,0
0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,Mon Nov 3 2014,7:30 pm,85,116,0,1
0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,Mon Nov 3 2014,8:30 pm,113,118,0,1
0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,Mon Nov 3 2014,9:00 pm,110,105,1,0
0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,Mon Nov 3 2014,10:30 pm,101,107,0,1
0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,Mon Nov 3 2014,8:00 pm,81,93,0,1
0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,Mon Nov 3 2014,7:00 pm,104,93,1,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,Tue Nov 4 2014,8:00 pm,90,98,0,1
0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,Tue Nov 4 2014,7:00 pm,87,81,1,0
0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,Tue Nov 4 2014,10:30 pm,112,106,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,80,Tue Nov 4 2014,7:30 pm,108,91,1,0
0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,Tue Nov 4 2014,8:00 pm,91,100,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tue Nov 4 2014,7:30 pm,98,83,1,0
0,81,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tue Nov 4 2014,10:00 pm,82,101,0,1
0,0,0,0,0,0,0,80,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tue Nov 4 2014,7:30 pm,88,100,0,1
0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,Wed Nov 5 2014,7:30 pm,110,107,1,0
0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,Wed Nov 5 2014,7:30 pm,98,91,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,81,Wed Nov 5 2014,7:00 pm,89,96,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,Wed Nov 5 2014,7:30 pm,95,98,0,1
0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,Wed Nov 5 2014,10:30 pm,104,121,0,1
0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,Wed Nov 5 2014,8:00 pm,95,86,1,0
81,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wed Nov 5 2014,7:00 pm,91,89,1,0
0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,Wed Nov 5 2014,9:00 pm,102,91,1,0
0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,Wed Nov 5 2014,10:00 pm,109,131,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,Wed Nov 5 2014,8:30 pm,92,94,0,1
0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,Wed Nov 5 2014,9:00 pm,100,102,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,81,0,0,0,0,0,0,Wed Nov 5 2014,8:00 pm,94,96,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,81,0,0,0,0,0,Thu Nov 6 2014,8:00 pm,81,98,0,1
0,0,81,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thu Nov 6 2014,10:30 pm,87,108,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,81,0,0,0,0,0,0,Fri Nov 7 2014,7:30 pm,98,101,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,Fri Nov 7 2014,7:30 pm,99,110,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,Fri Nov 7 2014,7:00 pm,119,122,0,1
0,81,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fri Nov 7 2014,10:30 pm,110,101,1,0
0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,Fri Nov 7 2014,7:30 pm,95,98,0,1
0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,Fri Nov 7 2014,8:00 pm,91,89,1,0
80,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fri Nov 7 2014,7:00 pm,103,112,0,1
0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,Fri Nov 7 2014,7:00 pm,118,115,1,0
0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,Fri Nov 7 2014,9:00 pm,114,112,1,0
0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fri Nov 7 2014,7:30 pm,84,103,0,1
0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,Fri Nov 7 2014,9:00 pm,105,82,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,80,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat Nov 8 2014,7:30 pm,96,103,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,81,0,0,0,0,0,0,0,Sat Nov 8 2014,8:00 pm,106,101,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,81,0,0,0,0,0,0,0,0,Sat Nov 8 2014,8:00 pm,98,87,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,80,0,0,0,0,0,0,Sat Nov 8 2014,7:00 pm,97,90,1,0
0,0,0,81,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat Nov 8 2014,3:30 pm,102,106,0,1
0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,Sat Nov 8 2014,7:30 pm,92,102,0,1
0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat Nov 8 2014,8:30 pm,92,93,0,1
0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,Sat Nov 8 2014,8:30 pm,100,99,1,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,Sun Nov 9 2014,3:30 pm,96,104,0,1
0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,Sun Nov 9 2014,7:30 pm,105,96,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,80,0,0,Sun Nov 9 2014,6:00 pm,97,96,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,80,0,0,0,Sun Nov 9 2014,9:30 pm,92,107,0,1
0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,Sun Nov 9 2014,7:00 pm,93,101,0,1
0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,Sun Nov 9 2014,8:00 pm,95,107,0,1
0,0,0,80,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Nov 9 2014,9:00 pm,100,116,0,1
0,0,0,0,0,0,81,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Nov 9 2014,7:00 pm,88,120,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,81,0,0,Mon Nov 10 2014,8:00 pm,91,102,0,1
0,80,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mon Nov 10 2014,7:00 pm,111,118,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,80,0,0,0,0,0,0,Mon Nov 10 2014,7:00 pm,86,97,0,1
0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,Mon Nov 10 2014,10:30 pm,89,85,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,81,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mon Nov 10 2014,7:30 pm,91,85,1,0
0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,Tue Nov 11 2014,8:30 pm,98,106,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,81,0,0,0,0,0,Tue Nov 11 2014,10:30 pm,113,100,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,81,0,0,0,Tue Nov 11 2014,8:00 pm,102,107,0,1
0,0,0,0,0,0,0,0,0,80,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tue Nov 11 2014,8:00 pm,78,85,0,1
0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,Tue Nov 11 2014,10:00 pm,100,102,0,1
81,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tue Nov 11 2014,7:30 pm,100,104,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,Wed Nov 12 2014,7:30 pm,97,100,0,1
0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,Wed Nov 12 2014,7:30 pm,109,94,1,0
0,0,0,81,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wed Nov 12 2014,9:00 pm,130,113,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,80,Wed Nov 12 2014,7:30 pm,81,75,1,0
0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,Wed Nov 12 2014,10:00 pm,113,101,1,0
0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,Wed Nov 12 2014,8:00 pm,102,109,0,1
81,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wed Nov 12 2014,7:30 pm,97,95,1,0
0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,Wed Nov 12 2014,9:00 pm,104,112,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,81,0,0,Wed Nov 12 2014,7:00 pm,103,107,0,1
0,0,80,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thu Nov 13 2014,8:30 pm,70,123,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,80,0,0,0,0,0,0,0,0,Thu Nov 13 2014,10:30 pm,99,107,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,81,0,Thu Nov 13 2014,8:00 pm,110,111,0,1
0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,Thu Nov 13 2014,8:00 pm,100,93,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,Fri Nov 14 2014,7:30 pm,103,114,0,1
0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,Fri Nov 14 2014,7:30 pm,122,121,1,0
0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,Fri Nov 14 2014,8:00 pm,87,88,0,1
0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,Fri Nov 14 2014,7:00 pm,108,87,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,80,0,0,0,Fri Nov 14 2014,10:00 pm,93,80,1,0
0,0,0,0,81,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fri Nov 14 2014,8:00 pm,91,139,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,Fri Nov 14 2014,7:30 pm,102,100,1,0
0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,Fri Nov 14 2014,8:00 pm,96,89,1,0
80,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fri Nov 14 2014,7:00 pm,85,101,0,1
0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,Fri Nov 14 2014,9:00 pm,103,95,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,81,0,0,0,0,0,0,Sat Nov 15 2014,8:00 pm,99,90,1,0
0,80,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat Nov 15 2014,7:30 pm,94,127,0,1
0,0,80,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat Nov 15 2014,8:30 pm,117,131,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,81,0,0,0,0,Sat Nov 15 2014,10:30 pm,87,112,0,1
0,0,0,0,0,81,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat Nov 15 2014,10:30 pm,107,120,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,81,0,0,Sat Nov 15 2014,8:00 pm,88,95,0,1
0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,Sat Nov 15 2014,10:00 pm,87,97,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,80,0,Sat Nov 15 2014,10:00 pm,91,94,0,1
0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,Sat Nov 15 2014,7:30 pm,93,111,0,1
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat Nov 15 2014,7:00 pm,93,98,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,80,0,0,0,Sun Nov 16 2014,9:30 pm,136,115,1,0
0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,Sun Nov 16 2014,6:00 pm,91,84,1,0
0,0,0,0,0,0,0,0,0,0,0,81,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Nov 16 2014,1:00 pm,93,109,0,1
0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,Sun Nov 16 2014,7:00 pm,69,65,1,0
0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,Mon Nov 17 2014,7:30 pm,118,114,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,81,Mon Nov 17 2014,7:30 pm,95,83,1,0
0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,Mon Nov 17 2014,7:00 pm,107,80,1,0
0,80,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mon Nov 17 2014,7:00 pm,106,97,1,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,Mon Nov 17 2014,7:30 pm,107,93,1,0
0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,Mon Nov 17 2014,10:30 pm,105,89,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,81,0,0,0,0,0,0,0,0,0,0,Mon Nov 17 2014,8:00 pm,93,119,0,1
0,0,0,80,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mon Nov 17 2014,10:00 pm,93,102,0,1
